date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,exit_reason,realized_return
2026-02-25,MSFT,call,ITM,mid,25.0,09:35,09:50,target,0.25
2026-02-25,MSFT,call,ITM,mid,25.0,10:00,10:10,target,0.25
2026-02-25,MSFT,call,ITM,mid,25.0,14:00,16:00,forced,-0.98865
2026-02-26,MSFT,call,ITM,mid,25.0,09:35,10:35,target,0.25
2026-02-26,MSFT,call,ITM,mid,25.0,14:00,16:00,forced,0.12694
2026-02-27,MSFT,call,ITM,mid,25.0,09:35,10:15,target,0.25
2026-02-27,MSFT,call,ITM,mid,25.0,10:30,16:00,forced,-0.99374
2026-03-02,MSFT,call,ITM,mid,25.0,09:35,09:40,target,0.25
2026-03-02,MSFT,call,ITM,mid,25.0,10:00,12:10,target,0.25
2026-03-02,MSFT,call,ITM,mid,25.0,12:30,16:00,forced,-0.99381
2026-03-03,MSFT,call,ITM,mid,25.0,09:35,09:45,target,0.25
2026-03-03,MSFT,call,ITM,mid,25.0,10:00,16:00,forced,-0.99281
2026-03-04,MSFT,call,ITM,mid,25.0,09:35,10:05,target,0.25
2026-03-04,MSFT,call,ITM,mid,25.0,10:30,16:00,forced,-0.99092
2026-03-05,MSFT,call,ITM,mid,25.0,09:35,16:00,forced,-0.9238
2026-03-06,MSFT,call,ITM,mid,25.0,09:35,09:50,target,0.25
2026-03-06,MSFT,call,ITM,mid,25.0,10:00,10:15,target,0.25
2026-03-06,MSFT,call,ITM,mid,25.0,10:30,11:35,target,0.25
2026-03-06,MSFT,call,ITM,mid,25.0,12:00,16:00,forced,0.22536
2026-03-09,MSFT,call,ITM,mid,25.0,09:35,16:00,forced,-0.98817
2026-03-10,MSFT,call,ITM,mid,25.0,09:35,10:10,target,0.25
2026-03-10,MSFT,call,ITM,mid,25.0,10:30,10:40,target,0.25
2026-03-10,MSFT,call,ITM,mid,25.0,12:00,13:55,target,0.25
2026-03-10,MSFT,call,ITM,mid,25.0,14:00,15:50,target,0.25
2026-03-11,MSFT,call,ITM,mid,25.0,09:35,09:45,target,0.25
2026-03-11,MSFT,call,ITM,mid,25.0,10:00,12:00,target,0.25
2026-03-11,MSFT,call,ITM,mid,25.0,12:00,12:10,target,0.25
2026-03-11,MSFT,call,ITM,mid,25.0,12:30,16:00,forced,-0.49715
2026-03-12,MSFT,call,ITM,mid,25.0,09:35,12:40,target,0.25
2026-03-12,MSFT,call,ITM,mid,25.0,13:00,16:00,forced,-0.55306
2026-03-13,MSFT,call,ITM,mid,25.0,09:35,10:15,target,0.25
2026-03-13,MSFT,call,ITM,mid,25.0,10:30,10:40,target,0.25
2026-03-13,MSFT,call,ITM,mid,25.0,12:00,13:40,target,0.25
2026-03-13,MSFT,call,ITM,mid,25.0,14:00,16:00,forced,-0.63374
2026-02-16,MSFT,call,ITM,mid,30.0,09:35,16:00,forced,-0.99268
2026-02-17,MSFT,call,ITM,mid,30.0,09:35,12:30,target,0.3
2026-02-17,MSFT,call,ITM,mid,30.0,14:00,16:00,forced,-0.30148
2026-02-18,MSFT,call,ITM,mid,30.0,09:35,09:50,target,0.3
2026-02-18,MSFT,call,ITM,mid,30.0,10:00,11:20,target,0.3
2026-02-18,MSFT,call,ITM,mid,30.0,14:00,16:00,forced,-0.7622
2026-02-19,MSFT,call,ITM,mid,30.0,09:35,12:40,target,0.3
2026-02-19,MSFT,call,ITM,mid,30.0,14:00,16:00,forced,-0.69746
2026-02-20,MSFT,call,ITM,mid,30.0,09:35,10:45,target,0.3
2026-02-20,MSFT,call,ITM,mid,30.0,14:00,14:20,target,0.3
2026-02-20,MSFT,call,ITM,mid,30.0,14:30,14:35,target,0.3
2026-02-20,MSFT,call,ITM,mid,30.0,15:00,16:00,forced,-0.30208
2026-02-23,MSFT,call,ITM,mid,30.0,09:35,16:00,forced,-0.98546
2026-02-24,MSFT,call,ITM,mid,30.0,09:35,10:45,target,0.3
2026-02-24,MSFT,call,ITM,mid,30.0,14:00,16:00,forced,-0.27571
2026-02-25,MSFT,call,ITM,mid,30.0,09:35,09:50,target,0.3
2026-02-25,MSFT,call,ITM,mid,30.0,10:00,10:10,target,0.3
2026-02-25,MSFT,call,ITM,mid,30.0,14:00,16:00,forced,-0.98865
2026-02-26,MSFT,call,ITM,mid,30.0,09:35,10:35,target,0.3
2026-02-26,MSFT,call,ITM,mid,30.0,14:00,16:00,forced,0.12694
2026-02-27,MSFT,call,ITM,mid,30.0,09:35,10:15,target,0.3
2026-02-27,MSFT,call,ITM,mid,30.0,10:30,16:00,forced,-0.99374
2026-03-02,MSFT,call,ITM,mid,30.0,09:35,09:40,target,0.3
2026-03-02,MSFT,call,ITM,mid,30.0,10:00,12:10,target,0.3
2026-03-02,MSFT,call,ITM,mid,30.0,13:00,13:05,target,0.3
2026-03-02,MSFT,call,ITM,mid,30.0,14:00,14:05,target,0.3
2026-03-02,MSFT,call,ITM,mid,30.0,14:30,16:00,forced,-0.99094
2026-03-03,MSFT,call,ITM,mid,30.0,09:35,09:45,target,0.3
2026-03-03,MSFT,call,ITM,mid,30.0,10:00,16:00,forced,-0.99281
2026-03-04,MSFT,call,ITM,mid,30.0,09:35,10:10,target,0.3
2026-03-04,MSFT,call,ITM,mid,30.0,10:30,16:00,forced,-0.99092
2026-03-05,MSFT,call,ITM,mid,30.0,09:35,16:00,forced,-0.9238
2026-03-06,MSFT,call,ITM,mid,30.0,09:35,09:50,target,0.3
2026-03-06,MSFT,call,ITM,mid,30.0,10:00,10:15,target,0.3
2026-03-06,MSFT,call,ITM,mid,30.0,10:30,11:35,target,0.3
2026-03-06,MSFT,call,ITM,mid,30.0,12:00,16:00,forced,0.22536
2026-03-09,MSFT,call,ITM,mid,30.0,09:35,16:00,forced,-0.98817
2026-03-10,MSFT,call,ITM,mid,30.0,09:35,10:10,target,0.3
2026-03-10,MSFT,call,ITM,mid,30.0,10:30,16:00,forced,0.16455
2026-03-11,MSFT,call,ITM,mid,30.0,09:35,09:45,target,0.3
2026-03-11,MSFT,call,ITM,mid,30.0,10:00,12:00,target,0.3
2026-03-11,MSFT,call,ITM,mid,30.0,12:00,12:10,target,0.3
2026-03-11,MSFT,call,ITM,mid,30.0,13:00,16:00,forced,-0.03241
2026-03-12,MSFT,call,ITM,mid,30.0,09:35,12:40,target,0.3
2026-03-12,MSFT,call,ITM,mid,30.0,13:00,16:00,forced,-0.55306
2026-03-13,MSFT,call,ITM,mid,30.0,09:35,10:15,target,0.3
2026-03-13,MSFT,call,ITM,mid,30.0,10:30,10:40,target,0.3
2026-03-13,MSFT,call,ITM,mid,30.0,12:00,14:00,target,0.3
2026-03-13,MSFT,call,ITM,mid,30.0,14:00,16:00,forced,-0.63374
2026-02-16,MSFT,call,ITM,mid,40.0,09:35,16:00,forced,-0.99268
2026-02-17,MSFT,call,ITM,mid,40.0,09:35,12:55,target,0.4
2026-02-17,MSFT,call,ITM,mid,40.0,14:00,16:00,forced,-0.30148
2026-02-18,MSFT,call,ITM,mid,40.0,09:35,09:50,target,0.4
2026-02-18,MSFT,call,ITM,mid,40.0,10:00,11:20,target,0.4
2026-02-18,MSFT,call,ITM,mid,40.0,14:00,16:00,forced,-0.7622
2026-02-19,MSFT,call,ITM,mid,40.0,09:35,12:45,target,0.4
2026-02-19,MSFT,call,ITM,mid,40.0,14:00,16:00,forced,-0.69746
2026-02-20,MSFT,call,ITM,mid,40.0,09:35,14:50,target,0.4
2026-02-20,MSFT,call,ITM,mid,40.0,15:00,16:00,forced,-0.30208
2026-02-23,MSFT,call,ITM,mid,40.0,09:35,16:00,forced,-0.98546
2026-02-24,MSFT,call,ITM,mid,40.0,09:35,16:00,forced,-0.2422
2026-02-25,MSFT,call,ITM,mid,40.0,09:35,09:50,target,0.4
2026-02-25,MSFT,call,ITM,mid,40.0,10:00,10:55,target,0.4
2026-02-25,MSFT,call,ITM,mid,40.0,14:00,16:00,forced,-0.98865
2026-02-26,MSFT,call,ITM,mid,40.0,09:35,12:20,target,0.4
2026-02-26,MSFT,call,ITM,mid,40.0,14:00,16:00,forced,0.12694
2026-02-27,MSFT,call,ITM,mid,40.0,09:35,10:15,target,0.4
2026-02-27,MSFT,call,ITM,mid,40.0,10:30,16:00,forced,-0.99374
2026-03-02,MSFT,call,ITM,mid,40.0,09:35,16:00,forced,-0.99228
2026-03-03,MSFT,call,ITM,mid,40.0,09:35,16:00,forced,-0.9914
2026-03-04,MSFT,call,ITM,mid,40.0,09:35,10:10,target,0.4
2026-03-04,MSFT,call,ITM,mid,40.0,10:30,16:00,forced,-0.99092
2026-03-05,MSFT,call,ITM,mid,40.0,09:35,16:00,forced,-0.9238
2026-03-06,MSFT,call,ITM,mid,40.0,09:35,09:50,target,0.4
2026-03-06,MSFT,call,ITM,mid,40.0,10:00,10:20,target,0.4
2026-03-06,MSFT,call,ITM,mid,40.0,10:30,11:35,target,0.4
2026-03-06,MSFT,call,ITM,mid,40.0,12:00,16:00,forced,0.22536
2026-03-09,MSFT,call,ITM,mid,40.0,09:35,16:00,forced,-0.98817
2026-03-10,MSFT,call,ITM,mid,40.0,09:35,10:35,target,0.4
2026-03-10,MSFT,call,ITM,mid,40.0,12:00,15:50,target,0.4
2026-03-11,MSFT,call,ITM,mid,40.0,09:35,09:45,target,0.4
2026-03-11,MSFT,call,ITM,mid,40.0,10:00,12:00,target,0.4
2026-03-11,MSFT,call,ITM,mid,40.0,12:00,16:00,forced,-0.52544
2026-03-12,MSFT,call,ITM,mid,40.0,09:35,16:00,forced,-0.70572
2026-03-13,MSFT,call,ITM,mid,40.0,09:35,10:25,target,0.4
2026-03-13,MSFT,call,ITM,mid,40.0,10:30,10:45,target,0.4
2026-03-13,MSFT,call,ITM,mid,40.0,12:00,14:00,target,0.4
2026-03-13,MSFT,call,ITM,mid,40.0,14:00,16:00,forced,-0.63374
2026-02-16,MSFT,call,ITM,mid,50.0,09:35,16:00,forced,-0.99268
2026-02-17,MSFT,call,ITM,mid,50.0,09:35,13:35,target,0.5
2026-02-17,MSFT,call,ITM,mid,50.0,14:00,16:00,forced,-0.30148
2026-02-18,MSFT,call,ITM,mid,50.0,09:35,09:50,target,0.5
2026-02-18,MSFT,call,ITM,mid,50.0,10:00,13:10,target,0.5
2026-02-18,MSFT,call,ITM,mid,50.0,14:00,16:00,forced,-0.7622
2026-02-19,MSFT,call,ITM,mid,50.0,09:35,12:45,target,0.5
2026-02-19,MSFT,call,ITM,mid,50.0,14:00,16:00,forced,-0.69746
2026-02-20,MSFT,call,ITM,mid,50.0,09:35,14:50,target,0.5
2026-02-20,MSFT,call,ITM,mid,50.0,15:00,16:00,forced,-0.30208
2026-02-23,MSFT,call,ITM,mid,50.0,09:35,16:00,forced,-0.98546
2026-02-24,MSFT,call,ITM,mid,50.0,09:35,16:00,forced,-0.2422
2026-02-25,MSFT,call,ITM,mid,50.0,09:35,10:10,target,0.5
2026-02-25,MSFT,call,ITM,mid,50.0,14:00,16:00,forced,-0.98865
2026-02-26,MSFT,call,ITM,mid,50.0,09:35,13:15,target,0.5
2026-02-26,MSFT,call,ITM,mid,50.0,14:00,16:00,forced,0.12694
2026-02-27,MSFT,call,ITM,mid,50.0,09:35,10:15,target,0.5
2026-02-27,MSFT,call,ITM,mid,50.0,10:30,16:00,forced,-0.99374
2026-03-02,MSFT,call,ITM,mid,50.0,09:35,16:00,forced,-0.99228
2026-03-03,MSFT,call,ITM,mid,50.0,09:35,16:00,forced,-0.9914
2026-03-04,MSFT,call,ITM,mid,50.0,09:35,10:20,target,0.5
2026-03-04,MSFT,call,ITM,mid,50.0,10:30,16:00,forced,-0.99092
2026-03-05,MSFT,call,ITM,mid,50.0,09:35,16:00,forced,-0.9238
2026-03-06,MSFT,call,ITM,mid,50.0,09:35,09:55,target,0.5
2026-03-06,MSFT,call,ITM,mid,50.0,10:00,10:30,target,0.5
2026-03-06,MSFT,call,ITM,mid,50.0,10:30,12:05,target,0.5
2026-03-06,MSFT,call,ITM,mid,50.0,14:00,14:25,target,0.5
2026-03-06,MSFT,call,ITM,mid,50.0,14:30,15:15,target,0.5
2026-03-06,MSFT,call,ITM,mid,50.0,15:30,16:00,forced,0.2475
2026-03-09,MSFT,call,ITM,mid,50.0,09:35,16:00,forced,-0.98817
2026-03-10,MSFT,call,ITM,mid,50.0,09:35,10:35,target,0.5
2026-03-10,MSFT,call,ITM,mid,50.0,11:00,16:00,forced,-0.07245
2026-03-11,MSFT,call,ITM,mid,50.0,09:35,09:50,target,0.5
2026-03-11,MSFT,call,ITM,mid,50.0,10:00,12:00,target,0.5
2026-03-11,MSFT,call,ITM,mid,50.0,12:00,16:00,forced,-0.52544
2026-03-12,MSFT,call,ITM,mid,50.0,09:35,16:00,forced,-0.70572
2026-03-13,MSFT,call,ITM,mid,50.0,09:35,10:25,target,0.5
2026-03-13,MSFT,call,ITM,mid,50.0,10:30,10:45,target,0.5
2026-03-13,MSFT,call,ITM,mid,50.0,11:00,13:40,target,0.5
2026-03-13,MSFT,call,ITM,mid,50.0,14:00,16:00,forced,-0.63374
2026-02-16,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.99268
2026-02-17,MSFT,call,ITM,mid,60.0,09:35,13:35,target,0.6
2026-02-17,MSFT,call,ITM,mid,60.0,14:00,16:00,forced,-0.30148
2026-02-18,MSFT,call,ITM,mid,60.0,09:35,09:50,target,0.6
2026-02-18,MSFT,call,ITM,mid,60.0,10:00,16:00,forced,-0.82781
2026-02-19,MSFT,call,ITM,mid,60.0,09:35,12:45,target,0.6
2026-02-19,MSFT,call,ITM,mid,60.0,14:00,16:00,forced,-0.69746
2026-02-20,MSFT,call,ITM,mid,60.0,09:35,14:50,target,0.6
2026-02-20,MSFT,call,ITM,mid,60.0,15:00,16:00,forced,-0.30208
2026-02-23,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.98546
2026-02-24,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.2422
2026-02-25,MSFT,call,ITM,mid,60.0,09:35,10:55,target,0.6
2026-02-25,MSFT,call,ITM,mid,60.0,14:00,16:00,forced,-0.98865
2026-02-26,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.14402
2026-02-27,MSFT,call,ITM,mid,60.0,09:35,10:15,target,0.6
2026-02-27,MSFT,call,ITM,mid,60.0,10:30,16:00,forced,-0.99374
2026-03-02,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.99228
2026-03-03,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.9914
2026-03-04,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.96155
2026-03-05,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.9238
2026-03-06,MSFT,call,ITM,mid,60.0,09:35,09:55,target,0.6
2026-03-06,MSFT,call,ITM,mid,60.0,10:00,11:35,target,0.6
2026-03-06,MSFT,call,ITM,mid,60.0,12:00,16:00,forced,0.22536
2026-03-09,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.98817
2026-03-10,MSFT,call,ITM,mid,60.0,09:35,10:40,target,0.6
2026-03-10,MSFT,call,ITM,mid,60.0,11:00,16:00,forced,-0.07245
2026-03-11,MSFT,call,ITM,mid,60.0,09:35,09:50,target,0.6
2026-03-11,MSFT,call,ITM,mid,60.0,10:00,12:05,target,0.6
2026-03-11,MSFT,call,ITM,mid,60.0,13:00,16:00,forced,-0.03241
2026-03-12,MSFT,call,ITM,mid,60.0,09:35,16:00,forced,-0.70572
2026-03-13,MSFT,call,ITM,mid,60.0,09:35,10:25,target,0.6
2026-03-13,MSFT,call,ITM,mid,60.0,11:00,14:00,target,0.6
2026-03-13,MSFT,call,ITM,mid,60.0,14:00,16:00,forced,-0.63374
2026-02-16,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.99268
2026-02-17,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,0.0758
2026-02-18,MSFT,call,ITM,mid,70.0,09:35,10:15,target,0.7
2026-02-18,MSFT,call,ITM,mid,70.0,10:30,16:00,forced,-0.83022
2026-02-19,MSFT,call,ITM,mid,70.0,09:35,12:45,target,0.7
2026-02-19,MSFT,call,ITM,mid,70.0,14:00,16:00,forced,-0.69746
2026-02-20,MSFT,call,ITM,mid,70.0,09:35,14:50,target,0.7
2026-02-20,MSFT,call,ITM,mid,70.0,15:00,16:00,forced,-0.30208
2026-02-23,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.98546
2026-02-24,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.2422
2026-02-25,MSFT,call,ITM,mid,70.0,09:35,11:00,target,0.7
2026-02-25,MSFT,call,ITM,mid,70.0,14:00,16:00,forced,-0.98865
2026-02-26,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.14402
2026-02-27,MSFT,call,ITM,mid,70.0,09:35,10:15,target,0.7
2026-02-27,MSFT,call,ITM,mid,70.0,10:30,16:00,forced,-0.99374
2026-03-02,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.99228
2026-03-03,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.9914
2026-03-04,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.96155
2026-03-05,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.9238
2026-03-06,MSFT,call,ITM,mid,70.0,09:35,09:55,target,0.7
2026-03-06,MSFT,call,ITM,mid,70.0,10:00,11:35,target,0.7
2026-03-06,MSFT,call,ITM,mid,70.0,12:00,16:00,forced,0.22536
2026-03-09,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.98817
2026-03-10,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,0.52946
2026-03-11,MSFT,call,ITM,mid,70.0,09:35,09:50,target,0.7
2026-03-11,MSFT,call,ITM,mid,70.0,10:00,12:05,target,0.7
2026-03-11,MSFT,call,ITM,mid,70.0,13:00,16:00,forced,-0.03241
2026-03-12,MSFT,call,ITM,mid,70.0,09:35,16:00,forced,-0.70572
2026-03-13,MSFT,call,ITM,mid,70.0,09:35,10:25,target,0.7
2026-03-13,MSFT,call,ITM,mid,70.0,12:00,16:00,forced,-0.43868
2026-02-16,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.99268
2026-02-17,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,0.0758
2026-02-18,MSFT,call,ITM,mid,75.0,09:35,10:20,target,0.75
2026-02-18,MSFT,call,ITM,mid,75.0,10:30,16:00,forced,-0.83022
2026-02-19,MSFT,call,ITM,mid,75.0,09:35,14:00,target,0.75
2026-02-19,MSFT,call,ITM,mid,75.0,14:00,16:00,forced,-0.69746
2026-02-20,MSFT,call,ITM,mid,75.0,09:35,14:50,target,0.75
2026-02-20,MSFT,call,ITM,mid,75.0,15:00,16:00,forced,-0.30208
2026-02-23,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.98546
2026-02-24,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.2422
2026-02-25,MSFT,call,ITM,mid,75.0,09:35,11:00,target,0.75
2026-02-25,MSFT,call,ITM,mid,75.0,14:00,16:00,forced,-0.98865
2026-02-26,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.14402
2026-02-27,MSFT,call,ITM,mid,75.0,09:35,10:20,target,0.75
2026-02-27,MSFT,call,ITM,mid,75.0,10:30,16:00,forced,-0.99374
2026-03-02,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.99228
2026-03-03,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.9914
2026-03-04,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.96155
2026-03-05,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.9238
2026-03-06,MSFT,call,ITM,mid,75.0,09:35,10:15,target,0.75
2026-03-06,MSFT,call,ITM,mid,75.0,12:00,16:00,forced,0.22536
2026-03-09,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.98817
2026-03-10,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,0.52946
2026-03-11,MSFT,call,ITM,mid,75.0,09:35,09:50,target,0.75
2026-03-11,MSFT,call,ITM,mid,75.0,10:00,12:10,target,0.75
2026-03-11,MSFT,call,ITM,mid,75.0,13:00,16:00,forced,-0.03241
2026-03-12,MSFT,call,ITM,mid,75.0,09:35,16:00,forced,-0.70572
2026-03-13,MSFT,call,ITM,mid,75.0,09:35,10:25,target,0.75
2026-03-13,MSFT,call,ITM,mid,75.0,12:00,16:00,forced,-0.43868
2026-02-16,MSFT,call,ITM,mid,80.0,09:35,16:00,forced,-0.99268
2026-02-17,MSFT,call,ITM,mid,80.0,09:35,16:00,forced,0.0758
2026-02-18,MSFT,call,ITM,mid,80.0,09:35,10:20,target,0.8
2026-02-18,MSFT,call,ITM,mid,80.0,10:30,16:00,forced,-0.83022
2026-02-19,MSFT,call,ITM,mid,80.0,09:35,14:15,target,0.8
2026-02-19,MSFT,call,ITM,mid,80.0,14:30,16:00,forced,-0.7399
2026-02-20,MSFT,call,ITM,mid,80.0,09:35,14:50,target,0.8
2026-02-20,MSFT,call,ITM,mid,80.0,15:00,16:00,forced,-0.30208
2026-02-23,MSFT,call,ITM,mid,80.0,09:35,16:00,forced,-0.98546
2026-02-24,MSFT,call,ITM,mid,80.0,09:35,16:00,forced,-0.2422
2026-02-25,MSFT,call,ITM,mid,80.0,09:35,11:00,target,0.8
2026-02-25,MSFT,call,ITM,mid,80.0,12:00,16:00,forced,-0.99142
2026-02-26,MSFT,call,ITM,mid,80.0,09:35,16:00,forced,-0.14402
2026-02-27,MSFT,call,ITM,mid,80.0,09:35,10:20,target,0.8
2026-02-27,MSFT,call,ITM,mid,80.0,10:30,16:00,forced,-0.99374
2026-03-02,MSFT,call,ITM,mid,80.0,09:35,16:00,forced,-0.99228
2026-03-03,MSFT,call,ITM,mid,80.0,09:35,16:00,forced,-0.9914
2026-03-04,MSFT,call,ITM,mid,80.0,09:35,16:00,forced,-0.96155
2026-03-05,MSFT,call,ITM,mid,80.0,09:35,16:00,forced,-0.9238
2026-03-06,MSFT,call,ITM,mid,80.0,09:35,10:15,target,0.8
2026-03-06,MSFT,call,ITM,mid,80.0,10:30,16:00,forced,0.65617
