symbol,direction,moneyness,fill_mode,regime,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
AMZN,call,ITM,mid,Fri-0DTE,20.0,189,92,2.054,0.5873,0.2,-0.26821,0.00677,0.01391,1.27937,False
AMZN,call,ITM,mid,Fri-0DTE,25.0,162,92,1.761,0.4938,0.25,-0.26821,-0.0123,-0.02167,-1.99333,False
AMZN,call,ITM,mid,Fri-0DTE,30.0,148,92,1.609,0.4189,0.3,-0.2225,-0.00362,-0.00582,-0.53502,False
AMZN,call,ITM,mid,Fri-0DTE,40.0,132,92,1.435,0.3409,0.4,-0.23276,-0.01705,-0.02446,-2.25004,False
AMZN,call,ITM,mid,Fri-0DTE,50.0,112,92,1.217,0.2411,0.5,-0.2226,-0.0484,-0.05892,-5.42063,False
AMZN,call,ITM,mid,Fri-0DTE,60.0,109,92,1.185,0.2018,0.6,-0.21275,-0.04871,-0.05771,-5.30902,False
AMZN,call,ITM,mid,Fri-0DTE,70.0,105,92,1.141,0.1714,0.7,-0.19339,-0.04024,-0.04592,-4.22482,False
AMZN,call,ITM,mid,Fri-0DTE,75.0,102,92,1.109,0.1569,0.75,-0.20144,-0.0522,-0.05787,-5.32409,False
AMZN,call,ITM,mid,Fri-0DTE,80.0,101,92,1.098,0.1485,0.8,-0.16963,-0.02562,-0.02813,-2.58811,False
AMZN,call,ITM,mid,Fri-0DTE,90.0,98,92,1.065,0.0816,0.9,-0.12955,-0.04551,-0.04847,-4.45958,False
AMZN,call,ITM,mid,Fri-0DTE,100.0,96,92,1.043,0.0521,1.0,-0.07059,-0.01483,-0.01548,-1.42387,False
AMZN,call,ITM,market,Fri-0DTE,20.0,166,92,1.804,0.506,0.2,-0.27114,-0.03273,-0.05906,-5.43311,False
AMZN,call,ITM,market,Fri-0DTE,25.0,147,92,1.598,0.4286,0.25,-0.27985,-0.05277,-0.08432,-7.75731,False
AMZN,call,ITM,market,Fri-0DTE,30.0,144,92,1.565,0.4028,0.3,-0.25831,-0.03344,-0.05233,-4.8148,False
AMZN,call,ITM,market,Fri-0DTE,40.0,122,92,1.326,0.3279,0.4,-0.28562,-0.06083,-0.08066,-7.42084,False
AMZN,call,ITM,market,Fri-0DTE,50.0,108,92,1.174,0.1852,0.5,-0.21272,-0.08073,-0.09477,-8.71926,False
AMZN,call,ITM,market,Fri-0DTE,60.0,107,92,1.163,0.1869,0.6,-0.2224,-0.06868,-0.07988,-7.34883,False
AMZN,call,ITM,market,Fri-0DTE,70.0,102,92,1.109,0.1569,0.7,-0.21469,-0.07121,-0.07895,-7.26316,False
AMZN,call,ITM,market,Fri-0DTE,75.0,100,92,1.087,0.14,0.75,-0.18929,-0.05779,-0.06281,-5.77885,False
AMZN,call,ITM,market,Fri-0DTE,80.0,99,92,1.076,0.101,0.8,-0.16741,-0.06969,-0.07499,-6.89913,False
