symbol,direction,fill_mode,dow,T_pct,n,hit_pct,first_hit_median,low_sample
AAPL,call,mid,Fri,20.0,40928,44.038,21.0,False
AAPL,call,mid,Fri,25.0,40928,40.686,24.0,False
AAPL,call,mid,Fri,30.0,40928,36.251,28.0,False
AAPL,call,mid,Fri,40.0,40928,29.51,35.0,False
AAPL,call,mid,Fri,50.0,40928,25.032,40.0,False
AAPL,call,mid,Fri,60.0,40928,21.951,47.0,False
AAPL,call,mid,Fri,70.0,40928,19.688,52.0,False
AAPL,call,mid,Fri,75.0,40928,18.689,53.0,False
AAPL,call,mid,Fri,80.0,40928,17.609,57.0,False
AAPL,call,mid,Fri,90.0,40928,16.021,60.0,False
AAPL,call,mid,Fri,100.0,40928,15.0,63.0,False
AAPL,call,market,Fri,20.0,40928,30.82,39.0,False
AAPL,call,market,Fri,25.0,40928,27.785,44.0,False
AAPL,call,market,Fri,30.0,40928,25.132,48.0,False
AAPL,call,market,Fri,40.0,40928,21.284,58.0,False
AAPL,call,market,Fri,50.0,40928,18.379,66.0,False
AAPL,call,market,Fri,60.0,40928,16.109,71.0,False
AAPL,call,market,Fri,70.0,40928,14.347,76.0,False
AAPL,call,market,Fri,75.0,40928,13.582,79.0,False
AAPL,call,market,Fri,80.0,40928,12.952,80.0,False
AAPL,call,market,Fri,90.0,40928,11.75,84.0,False
AAPL,call,market,Fri,100.0,40928,10.782,88.0,False
AAPL,put,mid,Fri,20.0,35636,52.744,19.0,False
AAPL,put,mid,Fri,25.0,35636,49.691,21.0,False
AAPL,put,mid,Fri,30.0,35636,44.528,25.0,False
AAPL,put,mid,Fri,40.0,35636,37.24,31.0,False
AAPL,put,mid,Fri,50.0,35636,31.97,36.0,False
AAPL,put,mid,Fri,60.0,35636,27.744,42.0,False
AAPL,put,mid,Fri,70.0,35636,25.022,46.0,False
AAPL,put,mid,Fri,75.0,35636,23.465,47.0,False
AAPL,put,mid,Fri,80.0,35636,21.854,50.0,False
AAPL,put,mid,Fri,90.0,35636,20.042,53.0,False
AAPL,put,mid,Fri,100.0,35636,18.377,53.0,False
AAPL,put,market,Fri,20.0,35636,33.214,33.0,False
AAPL,put,market,Fri,25.0,35636,30.464,37.0,False
AAPL,put,market,Fri,30.0,35636,28.053,42.0,False
AAPL,put,market,Fri,40.0,35636,24.071,50.0,False
AAPL,put,market,Fri,50.0,35636,21.007,56.0,False
AAPL,put,market,Fri,60.0,35636,18.495,61.0,False
AAPL,put,market,Fri,70.0,35636,16.534,67.0,False
AAPL,put,market,Fri,75.0,35636,15.532,69.0,False
AAPL,put,market,Fri,80.0,35636,14.578,70.0,False
AAPL,put,market,Fri,90.0,35636,12.998,74.0,False
AAPL,put,market,Fri,100.0,35636,11.797,76.0,False
AAPL,call,mid,Wed,20.0,7858,57.648,15.0,False
AAPL,call,mid,Wed,25.0,7858,54.569,18.0,False
AAPL,call,mid,Wed,30.0,7858,49.364,21.0,False
AAPL,call,mid,Wed,40.0,7858,41.919,26.0,False
AAPL,call,mid,Wed,50.0,7858,36.014,30.0,False
AAPL,call,mid,Wed,60.0,7858,32.375,36.0,False
AAPL,call,mid,Wed,70.0,7858,28.913,39.0,False
AAPL,call,mid,Wed,75.0,7858,27.704,41.0,False
AAPL,call,mid,Wed,80.0,7858,26.114,44.0,False
AAPL,call,mid,Wed,90.0,7858,24.141,48.0,False
AAPL,call,mid,Wed,100.0,7858,22.601,50.0,False
AAPL,call,market,Wed,20.0,7858,39.463,28.0,False
AAPL,call,market,Wed,25.0,7858,36.511,33.0,False
AAPL,call,market,Wed,30.0,7858,33.965,36.0,False
AAPL,call,market,Wed,40.0,7858,29.651,43.0,False
AAPL,call,market,Wed,50.0,7858,26.457,50.0,False
AAPL,call,market,Wed,60.0,7858,23.365,55.0,False
AAPL,call,market,Wed,70.0,7858,20.985,61.0,False
AAPL,call,market,Wed,75.0,7858,19.992,63.0,False
AAPL,call,market,Wed,80.0,7858,18.974,66.0,False
AAPL,call,market,Wed,90.0,7858,17.371,70.0,False
AAPL,call,market,Wed,100.0,7858,15.716,74.0,False
AAPL,put,mid,Wed,20.0,7057,58.368,15.0,False
AAPL,put,mid,Wed,25.0,7057,56.129,18.0,False
AAPL,put,mid,Wed,30.0,7057,50.234,22.0,False
AAPL,put,mid,Wed,40.0,7057,42.553,29.0,False
AAPL,put,mid,Wed,50.0,7057,36.347,33.0,False
AAPL,put,mid,Wed,60.0,7057,32.167,42.0,False
AAPL,put,mid,Wed,70.0,7057,29.29,47.0,False
AAPL,put,mid,Wed,75.0,7057,27.972,50.0,False
AAPL,put,mid,Wed,80.0,7057,26.017,53.0,False
AAPL,put,mid,Wed,90.0,7057,24.16,57.0,False
AAPL,put,mid,Wed,100.0,7057,22.488,60.0,False
AAPL,put,market,Wed,20.0,7057,34.094,29.0,False
AAPL,put,market,Wed,25.0,7057,32.209,33.0,False
AAPL,put,market,Wed,30.0,7057,30.424,37.0,False
AAPL,put,market,Wed,40.0,7057,26.895,46.0,False
AAPL,put,market,Wed,50.0,7057,24.019,54.0,False
AAPL,put,market,Wed,60.0,7057,21.638,62.0,False
AAPL,put,market,Wed,70.0,7057,19.626,69.0,False
AAPL,put,market,Wed,75.0,7057,18.747,73.0,False
AAPL,put,market,Wed,80.0,7057,17.897,76.0,False
AAPL,put,market,Wed,90.0,7057,16.537,80.0,False
AAPL,put,market,Wed,100.0,7057,15.134,86.5,False
AAPL,call,mid,Mon,20.0,6372,53.61,17.0,False
AAPL,call,mid,Mon,25.0,6372,50.691,20.0,False
AAPL,call,mid,Mon,30.0,6372,45.59,24.0,False
AAPL,call,mid,Mon,40.0,6372,37.524,31.0,False
AAPL,call,mid,Mon,50.0,6372,31.309,35.0,False
AAPL,call,mid,Mon,60.0,6372,27.276,41.0,False
AAPL,call,mid,Mon,70.0,6372,23.76,45.0,False
AAPL,call,mid,Mon,75.0,6372,22.159,46.0,False
AAPL,call,mid,Mon,80.0,6372,20.81,51.0,False
AAPL,call,mid,Mon,90.0,6372,18.55,54.0,False
AAPL,call,mid,Mon,100.0,6372,16.965,56.0,False
AAPL,call,market,Mon,20.0,6372,34.887,30.0,False
AAPL,call,market,Mon,25.0,6372,32.25,35.0,False
AAPL,call,market,Mon,30.0,6372,30.1,40.0,False
AAPL,call,market,Mon,40.0,6372,25.691,46.0,False
AAPL,call,market,Mon,50.0,6372,22.175,54.0,False
AAPL,call,market,Mon,60.0,6372,19.209,59.0,False
