# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)  (by day of week)
# Lookback = 365 calendar days
# Generated 2026-06-12 12:02:48  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Monday,2026-01-05,TSLA,TSLA260105C00455000,455.0,SIM,3:05 PM,1.3821,3:10 PM,1.6929,0.3108,31.08,True,
Monday,2026-01-12,TSLA,TSLA260112C00450000,450.0,SIM,3:05 PM,1.8825,3:10 PM,1.5869,-0.2956,-29.56,False,
Monday,2026-01-26,TSLA,TSLA260126C00437500,437.5,SIM,3:05 PM,0.6874,3:10 PM,0.5061,-0.1812,-18.12,False,
Monday,2026-02-02,TSLA,TSLA260202C00422500,422.5,REAL,3:05 PM,1.84,3:10 PM,1.85,0.01,1.0,True,
Monday,2026-02-09,TSLA,TSLA260209C00420000,420.0,REAL,3:05 PM,0.54,3:10 PM,0.73,0.19,19.0,True,
Monday,2026-02-23,TSLA,TSLA260223C00395000,395.0,REAL,3:05 PM,1.04,3:10 PM,0.93,-0.11,-11.0,False,
Monday,2026-03-02,TSLA,TSLA260302C00402500,402.5,REAL,3:05 PM,0.73,3:10 PM,0.18,-0.55,-55.0,False,
Monday,2026-03-09,TSLA,TSLA260309C00392500,392.5,REAL,3:05 PM,0.72,3:10 PM,0.59,-0.13,-13.0,False,
Monday,2026-03-16,TSLA,TSLA260316C00397500,397.5,REAL,3:05 PM,0.72,3:10 PM,1.36,0.64,64.0,True,
Monday,2026-03-23,TSLA,TSLA260323C00382500,382.5,REAL,3:05 PM,0.25,3:10 PM,0.25,0.0,0.0,False,
Monday,2026-03-30,TSLA,TSLA260330C00355000,355.0,REAL,3:05 PM,0.48,3:10 PM,0.23,-0.25,-25.0,False,
Monday,2026-04-06,TSLA,TSLA260406C00350000,350.0,REAL,3:05 PM,1.21,3:10 PM,1.89,0.68,68.0,True,
Monday,2026-04-13,TSLA,TSLA260413C00352500,352.5,REAL,3:05 PM,0.21,3:10 PM,0.18,-0.03,-3.0,False,
Monday,2026-04-20,TSLA,TSLA260420C00392500,392.5,REAL,3:05 PM,0.29,3:10 PM,0.24,-0.05,-5.0,False,
Monday,2026-04-27,TSLA,TSLA260427C00377500,377.5,REAL,3:05 PM,1.54,3:10 PM,1.2,-0.34,-34.0,False,
Monday,2026-05-04,TSLA,TSLA260504C00392500,392.5,REAL,3:05 PM,1.13,3:10 PM,1.11,-0.02,-2.0,False,
Monday,2026-05-11,TSLA,TSLA260511C00445000,445.0,REAL,3:05 PM,2.36,3:10 PM,4.0,1.64,164.0,True,
Monday,2026-05-18,TSLA,TSLA260518C00407500,407.5,REAL,3:05 PM,2.57,3:10 PM,2.22,-0.35,-35.0,False,
Monday,2026-06-01,TSLA,TSLA260601C00420000,420.0,REAL,3:05 PM,0.58,3:10 PM,0.49,-0.09,-9.0,False,
Monday,2026-06-08,TSLA,TSLA260608C00412500,412.5,REAL,3:05 PM,0.55,3:10 PM,0.19,-0.36,-36.0,False,
Monday,2025-06-16,MSFT,MSFT250616C00477500,477.5,SIM,3:35 PM,1.6488,3:40 PM,1.6253,-0.0235,-2.35,False,
Monday,2025-06-23,MSFT,MSFT250623C00485000,485.0,SIM,3:35 PM,1.6004,3:40 PM,1.4828,-0.1176,-11.76,False,
Monday,2025-06-30,MSFT,MSFT250630C00500000,500.0,SIM,3:35 PM,0.5959,3:40 PM,0.3912,-0.2047,-20.47,False,
Monday,2025-07-07,MSFT,MSFT250707C00497500,497.5,SIM,3:35 PM,0.8068,3:40 PM,0.7584,-0.0485,-4.85,False,
Monday,2025-07-14,MSFT,MSFT250714C00505000,505.0,SIM,3:35 PM,0.3986,3:40 PM,0.3096,-0.089,-8.9,False,
Monday,2025-07-21,MSFT,MSFT250721C00510000,510.0,SIM,3:35 PM,1.2054,3:40 PM,1.0642,-0.1412,-14.12,False,
Monday,2025-07-28,MSFT,MSFT250728C00510000,510.0,SIM,3:35 PM,1.5698,3:40 PM,1.5714,0.0016,0.16,True,
Monday,2025-08-04,MSFT,MSFT250804C00535000,535.0,SIM,3:35 PM,0.9092,3:40 PM,0.7736,-0.1356,-13.56,False,
Monday,2025-08-11,MSFT,MSFT250811C00520000,520.0,SIM,3:35 PM,1.8612,3:40 PM,1.8877,0.0266,2.66,True,
Monday,2025-08-18,MSFT,MSFT250818C00515000,515.0,SIM,3:35 PM,0.7907,3:40 PM,0.6372,-0.1535,-15.35,False,
Monday,2025-08-25,MSFT,MSFT250825C00505000,505.0,SIM,3:35 PM,1.2444,3:40 PM,1.1716,-0.0728,-7.28,False,
Monday,2025-09-08,MSFT,MSFT250908C00497500,497.5,SIM,3:35 PM,0.9854,3:40 PM,0.9735,-0.0119,-1.19,False,
Monday,2025-09-15,MSFT,MSFT250915C00515000,515.0,SIM,3:35 PM,0.8306,3:40 PM,0.7032,-0.1274,-12.74,False,
Monday,2025-09-22,MSFT,MSFT250922C00515000,515.0,SIM,3:35 PM,0.7675,3:40 PM,0.6538,-0.1137,-11.37,False,
Monday,2025-09-29,MSFT,MSFT250929C00515000,515.0,SIM,3:35 PM,0.9875,3:40 PM,0.9645,-0.023,-2.3,False,
Monday,2025-10-06,MSFT,MSFT251006C00530000,530.0,SIM,3:35 PM,0.8941,3:40 PM,0.98,0.086,8.6,True,
Monday,2025-10-13,MSFT,MSFT251013C00515000,515.0,SIM,3:35 PM,0.7206,3:40 PM,0.8357,0.1151,11.51,True,
Monday,2025-10-20,MSFT,MSFT251020C00515000,515.0,SIM,3:35 PM,1.9044,3:40 PM,1.747,-0.1574,-15.74,False,
Monday,2025-10-27,MSFT,MSFT251027C00535000,535.0,SIM,3:35 PM,0.4017,3:40 PM,0.2522,-0.1495,-14.95,False,
Monday,2025-11-03,MSFT,MSFT251103C00515000,515.0,SIM,3:35 PM,1.0812,3:40 PM,1.1805,0.0992,9.92,True,
Monday,2025-11-10,MSFT,MSFT251110C00505000,505.0,SIM,3:35 PM,1.1531,3:40 PM,1.3982,0.2451,24.51,True,
Monday,2025-11-17,MSFT,MSFT251117C00505000,505.0,SIM,3:35 PM,2.2899,3:40 PM,2.3636,0.0737,7.37,True,
Monday,2025-11-24,MSFT,MSFT251124C00475000,475.0,SIM,3:35 PM,0.7342,3:40 PM,0.5895,-0.1448,-14.48,False,
Monday,2025-12-01,MSFT,MSFT251201C00487500,487.5,SIM,3:35 PM,1.358,3:40 PM,1.0718,-0.2862,-28.62,False,
Monday,2025-12-08,MSFT,MSFT251208C00490000,490.0,SIM,3:35 PM,1.0818,3:40 PM,1.0715,-0.0104,-1.04,False,
Monday,2025-12-15,MSFT,MSFT251215C00475000,475.0,SIM,3:35 PM,0.9493,3:40 PM,0.979,0.0296,2.96,True,
Monday,2025-12-22,MSFT,MSFT251222C00485000,485.0,SIM,3:35 PM,1.0558,3:40 PM,0.8715,-0.1843,-18.43,False,
